Final_Class,Codes_Selected,Final_Justification,Confidence,original_index,narr_accf
AE100 only,PC100_Mental_States,The pilot's decision to take out the crosswind correction too soon indicates a mental state issue that directly contributed to the unsafe act during landing.,High,88,"The pilot reported that while landing, he took out the crosswind correction too soon, and the airplane veered to the left. The right wing dipped and struck the runway. The airplane became momentarily airborne again and when it settled back to the runway, the propeller struck the ground. The airplane exited the runway and came to rest in the grass. The right wing was substantially damaged. The pilot landed on runway 28R with wind 230°at 8 kts. The pilot reported that there were no mechanical failures or malfunctions that would have precluded normal operation."
AE100 only,PC100_Mental_States,"The pilot's failure to extend the landing gear indicates a lapse in mental state, which is classified under AE100.",High,89,The pilot reported that during a simulated instrument approach he forgot to extend the airplane’s landing gear. The airplane subsequently touched down on the runway and the fuselage and wings were substantially damaged. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation.
AE100 only,AE100,The evidence indicates a physical environmental factor (collision with geese) that directly contributed to the unsafe act during the flight.,High,90,"The flight instructor and his student were conducting an instructional flight in the airport traffic pattern when the airplane collided with multiple geese during initial climb. Due to the collision, the engine experienced a loss of engine power, so the flight instructor continued straight ahead. He conducted a forced landing on a golf course and the airplane nosed over. The airplane sustained substantial damage to the fuselage, empennage, and both wings."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,91,"The pilot reported that while en route to his planned fuel stop destination, the engine experienced a slight hesitation. The pilot then changed course to the nearest airport and turned on the auxiliary fuel pump. The engine roughness stopped for about 15 seconds, then occurred again, and the engine subsequently lost total power. Unable to maintain altitude and reach the nearest airport, the pilot conducted a forced landing to a roadway. During the forced landing, the airplane’s left wing tip struck a roadway sign, and the right float impacted a moving vehicle that was on the roadway. The airplane sustained substantial damage to the left wing rear spar._x000D_
Postaccident examination of the airplane revealed the left fuel tank contained no usable fuel, and the right tank contained about 14 gallons of fuel. The fuel selector was found in the left fuel tank position. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,PC100_Mental_States,"The pilot's report of forgetting to extend the landing gear indicates a lapse in mental state, which aligns with AE100.",High,92,The pilot reported that during the landing approach he forgot to extend the airplane’s landing gear. The airplane subsequently touched down on the runway and the fuselage was substantially damaged. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation.
AE100 only,AE100,"The evidence indicates that the physical environment was suitable for the operation, suggesting that the unsafe act may relate to the pilot's actions in response to the environmental conditions.",Medium,93,"The pilot was familiarizing himself with the airplane in preparation for a multi-day cross-country flight. He also said that there was a potential that he would provide flight instruction to a student during the upcoming flights, so he wanted to perform three takeoffs and landings in the airplane to meet the recent flight experience requirements of Title 14 Code of Federal Regulations Part 61.57. He said that as he approached the airport, the reported weather indicated the wind was aligned with the runway. During the approach, he noted that the windsock showed a left crosswind, and he adjusted the approach using crosswind control correction for the left crosswind. During the rollout, the wind shifted, and the right wing rose. The pilot attempted to correct but when the wing came back down the airplane veered off the left side of the runway and the right main landing gear collapsed. He said that after the event the windsock showed a right crosswind and he believed that there was some windshear that resulted in the right wing raising during the event. The airplane received substantial damage to the right wing. The pilot reported that there were no mechanical issues with the airplane. The recorded weather at the airport where the accident occurred was from 020° at 3 knots, about the time of the accident."
AE100 only,PE100_Physical_Environment,"The pilot encountered a flock of geese shortly after takeoff, indicating an unsafe act related to the physical environment.",High,94,"The pilot reported that shortly after takeoff, he encountered a flock of geese. One of the geese struck the right wing tip, which resulted in substantial damage to the right wing. The pilot declared an emergency with approach control and landed the airplane without further incident. The pilot reported that there were no mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the airplane touched down in low brush, which suggests a failure in the execution of the landing maneuver, aligning with unsafe acts related to the action of the pilot.",High,95,"The pilot stated that, before departing in his tailwheel-equipped airplane, a U.S. Army CH-47 heavy-lift helicopter departed and proceeded upwind. When the helicopter was established on the downwind leg of the traffic pattern, the pilot initiated his takeoff. At 40 ft above ground level in the initial climb, the airplane “hit the helicopter’s rotor wash” which rolled the airplane “about 135 degrees to its right.” The pilot was able to level the wings before the airplane touched down in low brush to the right of the runway and came to rest near the airport boundary fence. The airplane sustained substantial damage to the main landing gear support structure and the pilot deplaned uninjured. The pilot reported there were no mechanical malfunctions or anomalies with the airplane that would have precluded normal operation."
AE200 only,PE200_Tools_Technology,The autopilot's inability to maintain a level attitude or stabilize the UAS indicates a failure related to tools or technology.,High,96,"The operator of the uncrewed aircraft system (UAS) reported that, he and an external emergency safety pilot were conducting an engineering test flight to fine tune the autopilot’s tail rotor yaw limits. While hovering at 50 ft agl, the operator incorrectly input a full left tail rotor command, causing the UAS to begin a rapid counterclockwise rotation. The auto pilot was unable to maintain a level attitude or stabilize the UAS during the rotation, and descended uncontrollably. The safety pilot attempted to stabilize the UAS manually, using the emergency RC controller, to no avail. The UAS impacted the surface, resulting in substantial damage to the tailboom. The operator of the UAS reported that there were no preaccident mechanical malfunctions or failures that would have precluded normal operation."
AE200 only,,"The evidence indicates a limitation in understanding or executing the takeoff procedure, which aligns with AE200 related to decision-making errors.",Medium,97,"According to two witnesses, the pilot of the gyroplane started his takeoff roll with the rotor in a horizontal position. Both witnesses stated that the gyroplane’s take off roll was longer than usual. When the pilot pitched the rotor up, the gyroplane pitched up, climbed about 30 to 40 ft above the ground, rolled to the left, and subsequently impacted the runway. The left main landing gear separated from the gyroplane after impacting the runway, and the gyroplane departed the runway to the left. The gyroplane came to rest about 1,400 ft from its departure point. The pilot was seriously injured. During the runway excursion, the gyroplane’s rotor impacted the ground resulting in substantial damage to the rotor, horizontal stabilizer, vertical stabilizer, and rudder. _x000D_
The pilot stated via telephone that there were no mechanical malfunctions or failures that would have precluded normal operation. The pilot did not provide an NTSB Form 6120.1 Pilot/Operator Aircraft Accident/Incident Report._x000D_
According to FAA-H-8083-21 Rotorcraft Flying Handbook, “The normal takeoff for most amateur-built gyroplanes is accomplished by prerotating to sufficient rotor r.p.m. to prevent blade flapping and tilting the rotor back with cyclic control. Using a speed of 20 to 30 m.p.h., allow the rotor to accelerate and begin producing lift. As lift increases, move the cyclic forward to decrease the pitch angle on the rotor disc.” It is likely the pilot did not position the rotor at the appropriate pitch angle to allow the main rotor to reach sufficient takeoff rpm before attempting to takeoff."
AE100 only,,"The pilot's mental state of being high and fast on final approach indicates a violation of safe operational practices, which aligns with unsafe acts related to decision-making and performance.",High,98,"The pilot reported being high and fast on final approach. When he reduced power to land the airplane descended rapidly and landed hard. The left landing gear collapsed and the airplane exited the runway, resulting in substantial damage to the left wing. The pilot reported that there were no preimpact mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the pilot encountered a slope while taxiing, which suggests a violation of safe taxiing procedures, classifying it as an unsafe act related to the physical environment.",Medium,99,"The pilot of the tailwheel-equipped airplane reported that, while taxiing for takeoff on a gravel bar, he encountered a slope. To prevent potential loss of control, he applied brake pressure to both wheels, causing the airplane to nose over, resulting in substantial damage to the rudder. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
